date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:11:17	49249/49249	---M--	200	added ('OK')	image/jpeg	etag:%22c061-5b9a06c6-c04860b34452a72e;;;%22	https://demo.themewinter.com/html/vinazine/images/banner/banner1.jpg	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/images/banner/banner1.jpg	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:17	2304/2304	---M--	200	added ('OK')	image/png	etag:%22900-5b9a06c6-78571d8b35d86ffa;;;%22	https://demo.themewinter.com/html/vinazine/images/logo/banner_logo.png	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/images/logo/banner_logo.png	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:17	3499/3499	---M--	200	added ('OK')	image/png	etag:%22dab-5b9a06c6-c59638f8b27a48b7;;;%22	https://demo.themewinter.com/html/vinazine/images/logo/footer_logo.png	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/images/logo/footer_logo.png	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:17	61376/61376	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Jan%202019%2007:20:51%20GMT	https://demo.themewinter.com/html/vinazine/index-2.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/index-2.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:17	55073/55073	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Jan%202019%2007:21:06%20GMT	https://demo.themewinter.com/html/vinazine/index-3.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/index-3.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:18	52127/52127	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Jan%202019%2007:21:59%20GMT	https://demo.themewinter.com/html/vinazine/index-4.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/index-4.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:18	56451/56451	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Jan%202019%2007:22:13%20GMT	https://demo.themewinter.com/html/vinazine/index-5.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/index-5.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:18	56346/56346	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Jan%202019%2007:22:26%20GMT	https://demo.themewinter.com/html/vinazine/index-6.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/index-6.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:18	55391/55391	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Jan%202019%2007:22:43%20GMT	https://demo.themewinter.com/html/vinazine/index-7.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/index-7.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
00:11:18	64210/64210	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Jan%202019%2007:23:00%20GMT	https://demo.themewinter.com/html/vinazine/index-8.html	C:/Mes%20Sites%20Web/MIRACLE/demo.themewinter.com/html/vinazine/index-8.html	(from https://demo.themewinter.com/html/vinazine/?fbclid=IwAR10pNk6zl9genocMJdzcKpWZDYsK4tLqYzmvyOW-cYZnenRkWa6C-F5SkA)
